# threshold = 0.870403011360241
# Area under ROC curve = 0.428868120456906
# aggregate.tpos = 20
# aggregate.tneg = 28
# aggregate.fpos = 79
# aggregate.fneg = 7
# rocframe: 
           X1    actual  threshold fold tpos tneg fpos fneg
128 0.8722576 1.4456042 0.71774194    4    6   83   24   21
132 0.8722576 1.5899496 0.71774194    4    6   83   24   21
94  0.9407978 1.5717088 0.72500000    3    5   84   23   22
99  0.9405562 3.2387735 0.72500000    3    5   84   23   22
97  0.9424915 1.7299743 0.73750000    3    5   85   22   22
51  0.8636926 3.3837436 0.74418605    2    4   85   22   23
90  0.9433021 1.1643529 0.76250000    3    4   87   20   23
98  0.9437881 1.6665180 0.76250000    3    4   87   20   23
101 0.9452182 2.3109056 0.77500000    3    4   88   19   23
40  0.8710837 0.9912261 0.77906977    2    3   90   17   24
43  0.8708927 2.6386889 0.77906977    2    3   90   17   24
47  0.8715309 1.8802418 0.77906977    2    3   90   17   24
20  0.8735023 2.1251558 0.78571429    1    3   91   16   24
95  0.9468800 2.5880475 0.80000000    3    2   91   16   25
18  0.8736554 2.7629785 0.80357143    1    1   91   16   26
102 0.9471967 2.1251558 0.82500000    3    1   92   15   26
81  0.9507184 1.7795965 0.86250000    3    1   94   13   26
103 0.9502049 1.7923917 0.86250000    3    1   94   13   26
39  0.8874449 1.7024305 0.88372093    2    1   97   10   26
42  0.8865827 0.7160033 0.88372093    2    1   97   10   26
49  0.8869258 1.6551384 0.88372093    2    1   97   10   26
52  0.8977427 1.3010300 0.93023256    2    1   98    9   26
28  0.8990593 1.7566361 0.94186047    2    1  100    7   26
38  0.9009211 1.5728716 0.94186047    2    1  100    7   26
41  0.9029496 2.1051694 0.95348837    2    1  101    6   26
31  0.9083478 1.1303338 0.96511628    2    1  102    5   26
26  0.9187432 1.7767012 0.98837209    2    1  104    3   26
44  0.9144964 0.9777236 0.98837209    2    1  104    3   26
13  0.8740394 1.4456042 1.00000000    1    0  107    0   27
23  0.9848573 2.5627685 1.00000000    2    0  107    0   27
25  0.9597846 2.0338257 1.00000000    2    0  107    0   27
30  0.9255651 0.6127839 1.00000000    2    0  107    0   27
# predperf: 
  tpos tneg fpos fneg
1    2    5   13    2
2    4   12   32    0
3   12    9   29    4
4    2    2    5    1
