# threshold = 0.791334680630701
# Area under ROC curve = 0.30984555984556
# aggregate.tpos = 9
# aggregate.tneg = 71
# aggregate.fpos = 77
# aggregate.fneg = 5
# rocframe: 
           X1    actual   threshold fold tpos tneg fpos fneg
7   0.9437884 1.0374265 1.000000000    1    0  148    0   14
8   0.9437884 0.6127839 1.000000000    1    0  148    0   14
9   0.9437884 1.7846173 1.000000000    1    0  148    0   14
10  0.9437884 2.2652896 1.000000000    1    0  148    0   14
11  0.9437884 1.8680564 1.000000000    1    0  148    0   14
13  0.9437884 1.4232459 1.000000000    1    0  148    0   14
14  0.9437884 1.1613680 1.000000000    1    0  148    0   14
15  0.9437884 1.3820170 1.000000000    1    0  148    0   14
17  0.9437884 1.6730209 1.000000000    1    0  148    0   14
18  0.9437884 2.1126050 1.000000000    1    0  148    0   14
19  0.9437884 1.3856063 1.000000000    1    0  148    0   14
20  0.9437884 2.0413927 1.000000000    1    0  148    0   14
21  0.9437884 1.9484130 1.000000000    1    0  148    0   14
22  0.9437884 1.8088859 1.000000000    1    0  148    0   14
23  0.9437884 0.0000000 1.000000000    1    0  148    0   14
24  0.9437884 1.8469553 1.000000000    1    0  148    0   14
25  0.9437884 1.2329961 1.000000000    1    0  148    0   14
26  0.9534136 1.1271048 1.000000000    2    0  148    0   14
27  0.9534136 1.9057959 1.000000000    2    0  148    0   14
28  0.9534136 1.4456042 1.000000000    2    0  148    0   14
29  0.9534136 0.6127839 1.000000000    2    0  148    0   14
30  0.9534136 0.7075702 1.000000000    2    0  148    0   14
31  0.9534136 0.0000000 1.000000000    2    0  148    0   14
32  0.9534136 2.8367670 1.000000000    2    0  148    0   14
33  0.9534136 1.2988531 1.000000000    2    0  148    0   14
34  0.9534136 3.1138431 1.000000000    2    0  148    0   14
35  0.9534136 2.0726175 1.000000000    2    0  148    0   14
36  0.9534136 2.7875313 1.000000000    2    0  148    0   14
37  0.9534136 2.0437551 1.000000000    2    0  148    0   14
38  0.9534136 2.4549972 1.000000000    2    0  148    0   14
39  0.9534136 1.2041200 1.000000000    2    0  148    0   14
40  0.9534136 1.5105450 1.000000000    2    0  148    0   14
41  0.9534136 1.1643529 1.000000000    2    0  148    0   14
42  0.9534136 0.7923917 1.000000000    2    0  148    0   14
43  0.9534136 0.7993405 1.000000000    2    0  148    0   14
44  0.9534136 0.7160033 1.000000000    2    0  148    0   14
45  0.9534136 1.6384893 1.000000000    2    0  148    0   14
46  0.9534136 0.7993405 1.000000000    2    0  148    0   14
47  0.9534136 1.8920946 1.000000000    2    0  148    0   14
48  0.9534136 2.3232521 1.000000000    2    0  148    0   14
50  0.9534136 1.0755470 1.000000000    2    0  148    0   14
51  0.9534136 2.1711412 1.000000000    2    0  148    0   14
52  0.9534136 0.4771213 1.000000000    2    0  148    0   14
53  0.9534136 1.4785665 1.000000000    2    0  148    0   14
54  0.9534136 0.4913617 1.000000000    2    0  148    0   14
56  0.9534136 1.8175654 1.000000000    2    0  148    0   14
57  0.9534136 0.7075702 1.000000000    2    0  148    0   14
58  0.9534136 1.0791812 1.000000000    2    0  148    0   14
59  0.9534136 1.6444386 1.000000000    2    0  148    0   14
60  0.9534136 1.4593925 1.000000000    2    0  148    0   14
61  0.9534136 1.7795965 1.000000000    2    0  148    0   14
62  0.9534136 1.7355989 1.000000000    2    0  148    0   14
63  0.9534136 1.7737864 1.000000000    2    0  148    0   14
64  0.9534136 0.9867717 1.000000000    2    0  148    0   14
65  0.9534136 1.3483049 1.000000000    2    0  148    0   14
66  0.9534136 1.4440448 1.000000000    2    0  148    0   14
67  0.9534136 1.1335389 1.000000000    2    0  148    0   14
68  0.9534136 1.7505084 1.000000000    2    0  148    0   14
116 0.9371799 2.3529539 1.000000000    3    0  148    0   14
160 0.9978369 2.9377184 1.000000000    4    0  148    0   14
# predperf: 
  tpos tneg fpos fneg
1    0   25    0    0
2    0   38    0    5
3    1    7   48    0
4    8    1   29    0
