# threshold = 0.827199013503843
# Area under ROC curve = 0.3996138996139
# aggregate.tpos = 8
# aggregate.tneg = 52
# aggregate.fpos = 96
# aggregate.fneg = 6
# rocframe: 
           X1    actual  threshold fold tpos tneg fpos fneg
46  0.9253363 0.7993405 0.52100840    2    4   93   55   10
133 0.9746910 3.2980448 0.53225806    4    3   94   54   11
138 0.9752424 0.4771213 0.53225806    4    3   94   54   11
96  0.8788558 1.5809250 0.53773585    3    3   95   53   11
44  0.9255548 0.7160033 0.54621849    2    3   96   52   11
16  0.8991407 1.6201361 0.55474453    1    3   97   51   11
57  0.9257747 0.7075702 0.56302521    2    3   98   50   11
97  0.8791814 1.4297523 0.56603774    3    3   99   49   11
49  0.9260957 1.7226339 0.59663866    2    3  100   48   11
22  0.8996557 1.8088859 0.60583942    1    3  101   47   11
9   0.8996859 1.7846173 0.62043796    1    3  103   45   11
24  0.8996927 1.8469553 0.62043796    1    3  103   45   11
41  0.9261919 1.1643529 0.62184874    2    3  104   44   11
45  0.9263511 1.6384893 0.64705882    2    3  105   43   11
74  0.8812400 1.2900346 0.67924528    3    3  106   42   11
66  0.9267741 1.4440448 0.68907563    2    3  107   41   11
90  0.8814095 1.4756712 0.69811321    3    3  108   40   11
137 0.9805384 1.7092700 0.70161290    4    3  109   39   11
51  0.9268744 2.1711412 0.70588235    2    3  110   38   11
146 0.9811887 1.2278867 0.70967742    4    3  111   37   11
71  0.8819329 1.6063814 0.73584906    3    3  113   35   11
91  0.8820440 0.9344985 0.73584906    3    3  113   35   11
8   0.9006504 0.6127839 0.75182482    1    3  114   34   11
70  0.8821865 1.5145478 0.75471698    3    3  115   33   11
85  0.8823424 0.7993405 0.76415094    3    3  116   32   11
157 0.9830717 1.8773713 0.76612903    4    3  117   31   11
1   0.9010170 1.6170003 0.78102190    1    3  119   29   11
7   0.9010659 1.0374265 0.78102190    1    3  119   29   11
154 0.9832503 3.3837436 0.78225806    4    2  119   29   12
124 0.8825187 1.2329961 0.78301887    3    2  120   28   12
3   0.9011244 1.1398791 0.78832117    1    2  121   27   12
12  0.9015662 1.9947569 0.81021898    1    2  122   26   12
144 0.9850404 0.8750613 0.82258065    4    1  123   25   13
147 0.9850187 2.3727279 0.82258065    4    1  123   25   13
115 0.8831691 1.0863598 0.83018868    3    1  124   24   13
17  0.9018444 1.6730209 0.83211679    1    1  126   22   13
18  0.9018563 2.1126050 0.83211679    1    1  126   22   13
72  0.8834731 0.7160033 0.83962264    3    1  128   20   13
122 0.8833955 0.0000000 0.83962264    3    1  128   20   13
15  0.9022082 1.3820170 0.84671533    1    1  129   19   13
143 0.9863197 1.0863598 0.84677419    4    1  130   18   13
21  0.9023290 1.9484130 0.86131387    1    1  131   17   13
153 0.9884121 1.2329961 0.86290323    4    1  132   16   13
118 0.8838468 0.8633229 0.86792453    3    1  133   15   13
86  0.8838996 1.0791812 0.87735849    3    1  134   14   13
23  0.9024410 0.0000000 0.88321168    1    1  135   13   13
145 0.9895036 1.2278867 0.89516129    4    1  136   12   13
88  0.8841518 0.9542425 0.89622642    3    1  137   11   13
151 0.9900452 0.3010300 0.90322581    4    1  138   10   13
75  0.8843026 0.9242793 0.90566038    3    1  139    9   13
20  0.9029889 2.0413927 0.92700730    1    1  140    8   13
39  0.9286312 1.2041200 0.93277311    2    1  141    7   13
19  0.9034640 1.3856063 0.94890511    1    1  142    6   13
109 0.8847690 0.0000000 0.96226415    3    1  143    5   13
61  0.9291587 1.7795965 0.96638655    2    1  144    4   13
77  0.8867108 1.0334238 0.99056604    3    1  146    2   13
119 0.8860522 0.8512583 0.99056604    3    1  146    2   13
52  0.9296815 0.4771213 0.99159664    2    1  147    1   13
160 0.9943273 2.9377184 0.99193548    4    0  147    1   14
26  0.9303353 1.1271048 1.00000000    2    0  148    0   14
# predperf: 
  tpos tneg fpos fneg
1    0    5   20    0
2    0   25   13    5
3    0   20   35    1
4    8    2   28    0
