# threshold = 0.00698237227982786
# Area under ROC curve = 0.0169595110771581
# aggregate.tpos = 26
# aggregate.tneg = 0
# aggregate.fpos = 119
# aggregate.fneg = 29
# rocframe: 
              X1    actual  threshold fold tpos tneg fpos fneg
119 8.769981e-01 2.1580608 0.55932203    3    0   42   77   55
74  8.841726e-01 2.0153598 0.57627119    3    0   44   75   55
82  8.830605e-01 1.6020600 0.57627119    3    0   44   75   55
32  9.617071e-01 1.8847954 0.57894737    2    0   47   72   55
34  9.608255e-01 1.9344985 0.57894737    2    0   47   72   55
49  9.609064e-01 1.0374265 0.57894737    2    0   47   72   55
35  9.642371e-01 0.9344985 0.58646617    2    0   48   71   55
8   9.694480e-01 1.9329808 0.59027778    1    0   49   70   55
63  9.652386e-01 1.9503649 0.59398496    2    0   50   69   55
110 8.885152e-01 1.7505084 0.60169492    3    0   51   68   55
75  8.923005e-01 1.2380461 0.61016949    3    0   53   66   55
113 8.921475e-01 1.9464523 0.61016949    3    0   53   66   55
26  9.711884e-01 1.7024305 0.61111111    1    0   54   65   55
37  9.659919e-01 1.8898617 0.61654135    2    0   56   63   55
44  9.664933e-01 1.8680564 0.61654135    2    0   56   63   55
31  9.688738e-01 1.6954817 0.62406015    2    0   58   61   55
53  9.684438e-01 1.9934362 0.62406015    2    0   58   61   55
1   9.734060e-01 1.0374265 0.62500000    1    0   59   60   55
124 8.986044e-01 1.9703469 0.62711864    3    0   60   59   55
5   9.741296e-01 1.6599162 0.63194444    1    0   62   57   55
23  9.738796e-01 1.6464037 0.63194444    1    0   62   57   55
6   9.770655e-01 0.0000000 0.64583333    1    0   63   56   55
59  9.730873e-01 1.1903317 0.65413534    2    0   64   55   55
126 9.025367e-01 1.7291648 0.66101695    3    0   65   54   55
92  9.059106e-01 1.5276299 0.66949153    3    0   66   53   55
42  9.760582e-01 1.5843312 0.67669173    2    0   67   52   55
98  9.079509e-01 1.4393327 0.67796610    3    0   68   51   55
99  9.105223e-01 1.5658478 0.68644068    3    0   69   50   55
48  9.778778e-01 0.7075702 0.69172932    2    0   70   49   55
52  9.792510e-01 1.6374897 0.69924812    2    0   71   48   55
94  9.190033e-01 1.6551384 0.72881356    3    0   72   47   55
131 9.670627e-01 1.4082400 0.74015748    4    0   73   46   55
67  9.815280e-01 1.8680564 0.74436090    2    0   74   45   55
88  9.209528e-01 1.8215135 0.74576271    3    0   76   43   55
90  9.229891e-01 1.6720979 0.74576271    3    0   76   43   55
150 9.675319e-01 1.1522883 0.74803150    4    0   77   42   55
165 9.689497e-01 2.1580608 0.75590551    4    0   79   40   55
173 9.676929e-01 2.1580608 0.75590551    4    0   79   40   55
81  9.311157e-01 1.1986571 0.78813559    3    0   82   37   55
96  9.311407e-01 1.8299467 0.78813559    3    0   82   37   55
127 9.311539e-01 1.5831988 0.78813559    3    0   82   37   55
72  9.324258e-01 1.1903317 0.79661017    3    0   83   36   55
51  9.868959e-01 1.7307823 0.80451128    2    0   85   34   55
57  9.865708e-01 1.3201463 0.80451128    2    0   85   34   55
103 9.360373e-01 1.3031961 0.80508475    3    0   86   33   55
144 9.734707e-01 1.3031961 0.81889764    4    0   87   32   55
137 9.770015e-01 1.4593925 0.83464567    4    0   88   31   55
114 9.396685e-01 1.1522883 0.83898305    3    0   90   29   55
118 9.396371e-01 1.4785665 0.83898305    3    0   90   29   55
47  9.893864e-01 1.4927604 0.84210526    2    0   91   28   55
136 9.785774e-01 1.6954817 0.84251969    4    0   92   27   55
154 9.790805e-01 0.6127839 0.85039370    4    0   94   25   55
156 9.790670e-01 1.8419848 0.85039370    4    0   94   25   55
128 9.794043e-01 1.0791812 0.85826772    4    0   95   24   55
73  9.443565e-01 0.7708520 0.87288136    3    0   96   23   55
76  9.497863e-01 0.8692317 0.88135593    3    0   98   21   55
95  9.481057e-01 1.3856063 0.88135593    3    0   98   21   55
151 9.821442e-01 0.6127839 0.88188976    4    0  101   18   55
152 9.818120e-01 0.3010300 0.88188976    4    0  101   18   55
153 9.813822e-01 1.2329961 0.88188976    4    0  101   18   55
45  9.907064e-01 1.2068259 0.88721805    2    0  102   17   55
168 9.834754e-01 2.1251558 0.88976378    4    0  103   16   55
9   9.918620e-01 1.6170003 0.89583333    1    0  104   15   55
135 9.838749e-01 1.5502284 0.89763780    4    0  106   13   55
145 9.836104e-01 1.4031205 0.89763780    4    0  106   13   55
125 9.508565e-01 1.8898617 0.89830508    3    0  107   12   55
167 9.866406e-01 2.1126050 0.90551181    4    0  108   11   55
46  9.909569e-01 1.1172713 0.91729323    2    0  109   10   55
77  9.554024e-01 1.2253093 0.92372881    3    0  110    9   55
155 9.891424e-01 1.4345689 0.93700787    4    0  112    7   55
157 9.894071e-01 1.6954817 0.93700787    4    0  112    7   55
97  9.606678e-01 1.5611014 0.95762712    3    0  113    6   55
78  9.626473e-01 1.5263393 0.96610169    3    0  114    5   55
146 9.917359e-01 1.3909351 0.97637795    4    0  116    3   55
158 9.925768e-01 1.1643529 0.97637795    4    0  116    3   55
79  9.697804e-01 1.3636120 0.98305085    3    0  118    1   55
123 9.653975e-01 2.0831441 0.98305085    3    0  118    1   55
36  9.971174e-01 1.5440680 1.00000000    2    0  119    0   55
# predperf: 
  tpos tneg fpos fneg
1    7    0   15    8
2    4    0   30    7
3    2    0   43   11
4   13    0   31    3
