# threshold = 0.658756867955456
# Area under ROC curve = 0.130675526024363
# aggregate.tpos = 10
# aggregate.tneg = 7
# aggregate.fpos = 122
# aggregate.fneg = 4
# rocframe: 
           X1    actual  threshold fold tpos tneg fpos fneg
84  0.9074379 0.0000000 1.00000000    3    0  129    0   14
85  0.9074379 1.0827854 1.00000000    3    0  129    0   14
86  0.9074379 1.9818186 1.00000000    3    0  129    0   14
89  0.9074379 0.3010300 1.00000000    3    0  129    0   14
90  0.9074379 1.9344985 1.00000000    3    0  129    0   14
91  0.9074379 0.9912261 1.00000000    3    0  129    0   14
92  0.9074379 1.2329961 1.00000000    3    0  129    0   14
93  0.9074379 1.7489629 1.00000000    3    0  129    0   14
94  0.9074379 0.7993405 1.00000000    3    0  129    0   14
95  0.9074379 1.0827854 1.00000000    3    0  129    0   14
96  0.9074379 0.7993405 1.00000000    3    0  129    0   14
97  0.9074379 1.0791812 1.00000000    3    0  129    0   14
98  0.9074379 1.4393327 1.00000000    3    0  129    0   14
99  0.9074379 1.5378191 1.00000000    3    0  129    0   14
100 0.9074379 0.0000000 1.00000000    3    0  129    0   14
102 0.9074379 1.5327544 1.00000000    3    0  129    0   14
103 0.9074379 2.1844075 1.00000000    3    0  129    0   14
104 0.9074379 1.2718416 1.00000000    3    0  129    0   14
105 0.9074379 2.1760913 1.00000000    3    0  129    0   14
106 0.9074379 1.5611014 1.00000000    3    0  129    0   14
107 0.9074379 1.3483049 1.00000000    3    0  129    0   14
111 0.9074379 0.4771213 1.00000000    3    0  129    0   14
112 0.9074379 1.2068259 1.00000000    3    0  129    0   14
113 0.9074379 1.4132998 1.00000000    3    0  129    0   14
115 0.9074379 0.6127839 1.00000000    3    0  129    0   14
116 0.9074379 1.2380461 1.00000000    3    0  129    0   14
117 0.9074379 1.2718416 1.00000000    3    0  129    0   14
119 0.9074379 1.7092700 1.00000000    3    0  129    0   14
120 0.9074379 0.4913617 1.00000000    3    0  129    0   14
121 0.9074379 0.3010300 1.00000000    3    0  129    0   14
122 0.9516861 1.3961993 1.00000000    4    0  129    0   14
124 0.9516861 0.6127839 1.00000000    4    0  129    0   14
125 0.9516861 0.6127839 1.00000000    4    0  129    0   14
127 0.9516861 0.0000000 1.00000000    4    0  129    0   14
129 0.9516861 0.7993405 1.00000000    4    0  129    0   14
131 0.9516861 0.3010300 1.00000000    4    0  129    0   14
132 0.9516861 0.7160033 1.00000000    4    0  129    0   14
133 0.9516861 1.0863598 1.00000000    4    0  129    0   14
139 0.9516861 0.7160033 1.00000000    4    0  129    0   14
142 0.9516861 1.3074960 1.00000000    4    0  129    0   14
143 0.9516861 1.7505084 1.00000000    4    0  129    0   14
# predperf: 
  tpos tneg fpos fneg
1    2    2   10    1
2    7    1   45    0
3    1    3   46    3
4    0    1   21    0
