# threshold = 0.00233434156633624
# Area under ROC curve = 0.00687547746371276
# aggregate.tpos = 27
# aggregate.tneg = 0
# aggregate.fpos = 119
# aggregate.fneg = 28
# rocframe: 
              X1    actual   threshold fold tpos tneg fpos fneg
125 9.475735e-01 1.8898617 0.533898305    3    0   43   76   55
127 9.462033e-01 1.5831988 0.533898305    3    0   43   76   55
29  9.733224e-01 2.0195317 0.534722222    1    0   44   75   55
68  9.614798e-01 2.3516031 0.556390977    2    0   45   74   55
64  9.624421e-01 2.2360331 0.563909774    2    0   46   73   55
130 9.741157e-01 2.1316187 0.582677165    4    0   47   72   55
2   9.763467e-01 1.3541084 0.590277778    1    0   48   71   55
34  9.694086e-01 1.9344985 0.601503759    2    0   49   70   55
128 9.775542e-01 1.0791812 0.614173228    4    0   51   68   55
139 9.765528e-01 2.1553360 0.614173228    4    0   51   68   55
37  9.716795e-01 1.8898617 0.616541353    2    0   52   67   55
8   9.781851e-01 1.9329808 0.618055556    1    0   53   66   55
92  9.679690e-01 1.5276299 0.627118644    3    0   54   65   55
44  9.740355e-01 1.8680564 0.631578947    2    0   56   63   55
52  9.738974e-01 1.6374897 0.631578947    2    0   56   63   55
98  9.701285e-01 1.4393327 0.635593220    3    0   57   62   55
5   9.834779e-01 1.6599162 0.659722222    1    0   58   61   55
26  9.836928e-01 1.7024305 0.666666667    1    0   59   60   55
150 9.802210e-01 1.1522883 0.669291339    4    0   61   58   55
156 9.797688e-01 1.8419848 0.669291339    4    0   61   58   55
99  9.719487e-01 1.5658478 0.669491525    3    0   63   56   55
118 9.716772e-01 1.4785665 0.669491525    3    0   63   56   55
74  9.734581e-01 2.0153598 0.686440678    3    0   65   54   55
82  9.740088e-01 1.6020600 0.686440678    3    0   65   54   55
9   9.849792e-01 1.6170003 0.687500000    1    0   66   53   55
49  9.806949e-01 1.0374265 0.691729323    2    0   69   50   55
53  9.791248e-01 1.9934362 0.691729323    2    0   69   50   55
67  9.800753e-01 1.8680564 0.691729323    2    0   69   50   55
23  9.852410e-01 1.6464037 0.694444444    1    0   70   49   55
103 9.772088e-01 1.3031961 0.703389831    3    0   71   48   55
75  9.777580e-01 1.2380461 0.720338983    3    0   72   47   55
153 9.820853e-01 1.2329961 0.724409449    4    0   73   46   55
32  9.818659e-01 1.8847954 0.729323308    2    0   75   44   55
45  9.822136e-01 1.2068259 0.729323308    2    0   75   44   55
168 9.829759e-01 2.1251558 0.732283465    4    0   76   43   55
96  9.786931e-01 1.8299467 0.737288136    3    0   77   42   55
137 9.841375e-01 1.4593925 0.755905512    4    0   79   40   55
155 9.842807e-01 1.4345689 0.755905512    4    0   79   40   55
63  9.841356e-01 1.9503649 0.759398496    2    0   80   39   55
31  9.846172e-01 1.6954817 0.766917293    2    0   81   38   55
123 9.820587e-01 2.0831441 0.788135593    3    0   82   37   55
144 9.850314e-01 1.3031961 0.795275591    4    0   84   35   55
167 9.855892e-01 2.1126050 0.795275591    4    0   84   35   55
90  9.827591e-01 1.6720979 0.796610169    3    0   85   34   55
152 9.856337e-01 0.3010300 0.803149606    4    0   86   33   55
6   9.909309e-01 0.0000000 0.805555556    1    0   87   32   55
94  9.834221e-01 1.6551384 0.813559322    3    0   89   30   55
114 9.832196e-01 1.1522883 0.813559322    3    0   89   30   55
154 9.865631e-01 0.6127839 0.818897638    4    0   90   29   55
1   9.912112e-01 1.0374265 0.826388889    1    0   91   28   55
57  9.873393e-01 1.3201463 0.827067669    2    0   92   27   55
131 9.881584e-01 1.4082400 0.842519685    4    0   94   25   55
157 9.881418e-01 1.6954817 0.842519685    4    0   94   25   55
140 9.883310e-01 0.9242793 0.850393701    4    0   95   24   55
42  9.892752e-01 1.5843312 0.864661654    2    0   97   22   55
51  9.896614e-01 1.7307823 0.864661654    2    0   97   22   55
135 9.896685e-01 1.5502284 0.866141732    4    0   99   20   55
136 9.894662e-01 1.6954817 0.866141732    4    0   99   20   55
88  9.874815e-01 1.8215135 0.872881356    3    0  100   19   55
151 9.898854e-01 0.6127839 0.874015748    4    0  101   18   55
35  9.907192e-01 0.9344985 0.887218045    2    0  102   17   55
72  9.879577e-01 1.1903317 0.889830508    3    0  103   16   55
95  9.890623e-01 1.3856063 0.923728814    3    0  104   15   55
73  9.891519e-01 0.7708520 0.932203390    3    0  105   14   55
48  9.935594e-01 0.7075702 0.939849624    2    0  106   13   55
81  9.892345e-01 1.1986571 0.940677966    3    0  107   12   55
145 9.921972e-01 1.4031205 0.944881890    4    0  108   11   55
146 9.927072e-01 1.3909351 0.952755906    4    0  109   10   55
47  9.944950e-01 1.4927604 0.962406015    2    0  111    8   55
59  9.948592e-01 1.1903317 0.962406015    2    0  111    8   55
97  9.908978e-01 1.5611014 0.966101695    3    0  112    7   55
158 9.942472e-01 1.1643529 0.976377953    4    0  113    6   55
76  9.925818e-01 0.8692317 0.983050847    3    0  114    5   55
36  9.961962e-01 1.5440680 1.000000000    2    0  119    0   55
46  9.977150e-01 1.1172713 1.000000000    2    0  119    0   55
77  9.941190e-01 1.2253093 1.000000000    3    0  119    0   55
78  9.956530e-01 1.5263393 1.000000000    3    0  119    0   55
79  9.943331e-01 1.3636120 1.000000000    3    0  119    0   55
# predperf: 
  tpos tneg fpos fneg
1    7    0   15    8
2    5    0   30    6
3    2    0   43   11
4   13    0   31    3
