# threshold = 0.690571746136899
# Area under ROC curve = 0.236380952380952
# aggregate.tpos = 19
# aggregate.tneg = 27
# aggregate.fpos = 98
# aggregate.fneg = 23
# rocframe: 
           X1    actual   threshold fold tpos tneg fpos fneg
26  0.8441695 1.1643529 0.607692308    1    4   65   60   38
36  0.8453155 1.5024271 0.615384615    1    4   66   59   38
85  0.8449383 2.1525941 0.619469027    3    4   67   58   38
151 0.8611426 2.1448854 0.622222222    4    4   68   57   38
92  0.8524229 1.9576073 0.654867257    3    4   71   54   38
109 0.8507828 1.3891661 0.654867257    3    4   71   54   38
132 0.8493529 0.3010300 0.654867257    3    4   71   54   38
91  0.8551490 1.7986506 0.672566372    3    4   74   51   38
113 0.8546075 1.5888317 0.672566372    3    4   74   51   38
123 0.8546075 1.7041505 0.672566372    3    4   74   51   38
23  0.8504410 2.1664301 0.676923077    1    4   75   50   38
99  0.8572865 3.3837436 0.681415929    3    3   76   49   39
127 0.8574202 1.4116197 0.681415929    3    3   76   49   39
35  0.8511798 2.2796669 0.684615385    1    3   77   48   39
114 0.8609530 2.2309596 0.707964602    3    3   78   47   39
162 0.8678954 2.1386184 0.711111111    4    3   82   43   39
163 0.8692754 1.6294096 0.711111111    4    3   82   43   39
164 0.8687597 1.6314438 0.711111111    4    3   82   43   39
167 0.8690503 1.7371926 0.711111111    4    3   82   43   39
105 0.8618960 1.3856063 0.716814159    3    3   83   42   39
84  0.8636659 1.1271048 0.725663717    3    3   85   40   39
98  0.8637233 1.5670264 0.725663717    3    3   85   40   39
11  0.8541517 1.3765770 0.730769231    1    3   86   39   39
60  0.8482053 2.1027766 0.747967480    2    3   87   38   39
31  0.8554430 1.1430148 0.753846154    1    3   88   37   39
27  0.8565548 0.7993405 0.769230769    1    3   89   36   39
122 0.8709766 0.9030900 0.787610619    3    3   90   35   39
12  0.8613841 1.1172713 0.792307692    1    2   92   33   40
17  0.8612946 2.4834446 0.792307692    1    2   92   33   40
32  0.8620239 1.3579348 0.792307692    1    2   92   33   40
58  0.8527174 2.3583156 0.796747967    2    2   93   32   40
147 0.8804018 2.0874265 0.807407407    4    2   94   31   40
101 0.8764683 2.1734776 0.823008850    3    2   97   28   40
106 0.8781587 1.4756712 0.823008850    3    2   97   28   40
107 0.8777759 1.3384565 0.823008850    3    2   97   28   40
110 0.8803684 1.6866363 0.831858407    3    2   99   26   40
128 0.8804208 0.6127839 0.831858407    3    2   99   26   40
53  0.8565540 2.2355284 0.837398374    2    2  102   23   40
62  0.8572654 1.4712917 0.837398374    2    2  102   23   40
79  0.8558138 1.1643529 0.837398374    2    2  102   23   40
87  0.8827767 1.6928469 0.840707965    3    2  103   22   40
22  0.8681956 2.2000293 0.846153846    1    2  104   21   40
28  0.8692734 1.6532125 0.861538462    1    2  105   20   40
5   0.8710165 1.7767012 0.869230769    1    2  106   19   40
50  0.8699768 1.4593925 0.894308943    2    2  108   17   40
72  0.8700054 1.5786392 0.894308943    2    2  108   17   40
88  0.8905809 1.5263393 0.911504425    3    2  110   15   40
108 0.8902120 1.3384565 0.911504425    3    2  110   15   40
150 0.8885475 0.3010300 0.918518519    4    2  112   13   40
157 0.8879991 1.4742163 0.918518519    4    2  112   13   40
52  0.8740658 1.3483049 0.918699187    2    2  114   11   40
54  0.8748329 1.3710679 0.918699187    2    2  114   11   40
68  0.8776775 1.3979400 0.934959350    2    2  115   10   40
43  0.8784473 1.3961993 0.943089431    2    2  118    7   40
64  0.8808675 2.1598678 0.943089431    2    2  118    7   40
78  0.8789045 1.0374265 0.943089431    2    2  118    7   40
89  0.8973553 0.0000000 0.946902655    3    2  119    6   40
140 0.8925743 1.9138139 0.955555556    4    2  120    5   40
55  0.8849919 1.9020029 0.967479675    2    2  121    4   40
48  0.8892804 1.8469553 0.975609756    2    2  122    3   40
42  0.8920908 2.4637437 0.991869919    2    1  124    1   41
67  0.8943158 0.6127839 0.991869919    2    1  124    1   41
73  0.8941996 0.3010300 0.991869919    2    1  124    1   41
71  0.9062160 0.3010300 1.000000000    2    0  125    0   42
81  0.9392813 2.5161386 1.000000000    2    0  125    0   42
# predperf: 
  tpos tneg fpos fneg
1    5    7   17    8
2    4    6   28    6
3    5   10   31    8
4    5    4   22    1
