logEcoli,turbidity,Previous24hrrainfall,windspeed,airtemp,dewpoint,clouds,atmpressure,cuyahogariverflow,rockyriverflow,ucomp,vcomp
0.698970004,10.3,0,8,75,58,1,29.4,434,51,-6.13,-5.14
0.698970004,12.5,0,7,67,63,3,29.36,415,316,2.39,-6.58
2.710117365,15.5,0,8,70,60,5,29.26,550,315,-1.39,-7.88
0.954242509,9.2,0,0,70,42,2,29.37,428,151,0,0
1.113943352,9.75,0,7,71,44,2,29.45,351,99,5.36,-4.5
1.301029996,8.775,0,6,79,56,1,29.36,323,72,-3,-5.2
1.301029996,4.475,0,3,79,59,3,29.28,300,54,0.52,-2.95
1.643452676,7.1,0,3,77,61,3,29.2,287,46,0,-3
1.477121255,5.6,0.05,7,78,63,1,29.08,311,45,-2.39,-6.58
1.361727836,9,0.21,9,69,62,3,28.86,323,58,9,0
2.544068044,4.4,0.05,11,70,60,3,28.64,457,66,-10.34,-3.76
3.247973266,34.3,0.66,16,54,50,5,28.81,491,68,-5.47,15.04
2.392696953,15.4,0,11,58,46,3,29.13,682,130,-5.5,9.53
1.913813852,9.8,0,16,67,51,3,29.09,398,88,2.78,-15.76
1.278753601,4,0,15,82,66,2,28.97,333,67,-5.13,-14.1
2.155336037,16.1,0.16,10,64,39,1,29.32,405,78,5,8.66
1.301029996,3.3,0,0,66,47,1,29.29,992,194,0,0
0.903089987,2.3,0,6,72,48,1,29.31,436,101,1.04,5.91
1.672097858,3.6,0,6,73,55,3,29.34,388,62,-3,5.2
1.875061263,8.2,0,0,72,59,4,29.26,341,44,0,0
1.041392685,3.7,0,9,76,55,2,29.23,311,41,-1.56,8.86
1.505149978,12,0,5,71,49,2,29.25,300,37,3.21,-3.83
1.255272505,3.7,0,6,73,51,3,29.21,277,36,2.05,-5.64
1.278753601,4.2,0,3,78,57,5,29.17,264,29,-0.52,2.95
1.230448921,5.7,0,7,80,65,3,29.19,258,26,-2.39,-6.58
1.113943352,3.7,0,14,78,63,3,29.09,258,24,-4.79,-13.16
2.62324929,18.5,0.35,10,70,48,1,29.28,560,53,0,10
1.785329835,8.1,0,9,72,50,4,29.2,622,322,-6.89,-5.79
1.69019608,25.1,0,8,66,51,2,29.26,327,106,-1.39,7.88
1.041392685,7.9,0,13,71,47,2,29.23,285,68,2.26,-12.8
1.041392685,3,0,3,77,60,3,29.34,262,46,0,3
1.447158031,5.9,0,6,80,67,3,29.39,262,38,-2.05,-5.64
0.84509804,5.6,0,16,82,66,2,29.26,264,32,-12.26,-10.28
1.643452676,8.35,0.18,7,72,63,3,29.21,268,31,-1.22,6.89
2.511883361,32.2,0,7,68,55,4,29.28,425,86,4.5,5.36
1.278753601,3.3,0,7,74,44,2,29.28,316,82,-3.5,6.06
2.136720567,28.3,0,14,67,47,2,29.37,271,47,2.43,13.79
1.949390007,60.1,0,5,66,44,3,29.47,258,34,5,0
0.84509804,7.5,0,8,70,52,3,29.1,246,22,0,-8
1.763427994,3.4,0,3,75,62,3,29.18,243,21,-1.93,2.3
0.77815125,4.5,0,7,79,55,1,29.17,246,19,-6.89,-1.22
0.903089987,3.3,0,13,81,59,2,29.03,239,20,-8.36,-9.96
1.361727836,3.5,0,11,83,66,3,29.05,233,20,-7.07,-8.43
0.301029996,4.2,0,9,83,64,2,29.09,233,17,-5.79,-6.89
2.238046103,3.8,0.09,7,72,68,4,28.94,230,16,-6.58,-2.39
1.477121255,8.2,0.09,11,71,50,3,29.09,263,23,-8.43,-7.07
0.698970004,5.4,0,13,74,49,2,29.04,228,23,-6.5,-11.26
1.785329835,20.1,0.12,8,68,57,3,29.05,209,20,-4,6.93
1.342422681,4.5,0,3,73,54,2,29.18,208,21,-2.82,-1.03
0.903089987,3.4,0,14,78,52,4,29.18,195,19,-4.79,-13.16
1.897627091,4.1,0.11,7,72,65,2,29.14,200,15,-6.06,-3.5
2.093421685,24.8,0.07,11,70,66,3,28.95,254,25,-8.43,-7.07
2.808210973,43.9,0.34,16,66,54,4,29.21,342,43,-8,13.86
1.380211242,42.5,0,10,69,52,3,29.38,517,97,-3.42,9.4
1.176091259,26.9,0,8,73,46,1,29.45,274,59,7.52,2.74
1.505149978,10.1,0,0,69,52,4,29.34,227,34,0,0
2.374748346,21.9,0.02,6,62,57,3,29.26,214,23,5.64,-2.05
1.77815125,3.6,0.13,3,64,59,2,29.28,224,21,-2.82,-1.03
1.176091259,1.7,0.7,7,66,61,4,29.25,356,72,4.5,-5.36
1.544068044,1.9,0.81,9,68,63,4,29.05,319,94,1.56,-8.86
1.799340549,2,0.08,0,72,66,4,29.05,486,217,0,0
2.46834733,4.7,0,10,79,66,4,29.11,491,314,-1.74,9.85
2.164352856,28.1,0,8,77,65,1,29.16,377,100,1.39,7.88
1.230448921,7.4,0,5,78,60,1,29.23,324,59,-1.71,4.7
1.113943352,3.6,0,3,80,65,1,29.21,278,43,-2.3,-1.93
1.397940009,2.5,0,7,82,66,1,29.19,262,34,-3.5,-6.06
1.431363764,2.3,0,6,80,66,3,29.17,255,27,-3.86,-4.6
2.939519253,30.7,0,7,79,55,3,29.24,249,24,5.36,4.5
1.954242509,12.9,0,3,69,60,2,29.12,237,23,-1.03,-2.82
2.307496038,7,0.38,7,76,71,4,29.02,256,34,-6.89,-1.22
2.610660163,8.6,3.33,8,81,73,4,29.01,2260,1060,-6.93,-4
2.658011397,11.8,0.17,6,77,69,5,29.04,2130,709,-2.05,-5.64
2.515873844,23.9,0.89,10,73,68,3,29.06,1370,403,3.42,9.4
1.959041392,24.9,0,7,75,62,1,29.24,2020,1070,0,7
1.397940009,16.1,0,3,76,62,4,29.23,1010,296,-1.03,-2.82
2.322219295,63.1,0,11,72,58,2,29.25,678,122,-5.5,9.53
2.214843848,39.4,0,5,65,53,2,29.24,552,80,-3.21,-3.83
2.167317335,23.6,0,10,75,62,3,29.13,443,59,6.43,7.66
1.51851394,6,0.13,10,76,67,2,29.05,379,52,-7.66,-6.43
2.532754379,23.2,0,3,74,57,3,29.17,332,49,-2.95,0.52
2.033423755,52.1,0,9,64,46,4,29.43,295,40,3.08,8.46
1.477121255,12.3,0.06,8,57,52,4,29.34,272,39,7.88,-1.39
3.017033339,89.7,2.23,3,70,67,5,29.11,4650,2990,0,-3
1.875061263,10.15,0.05,0,73,67,5,29.25,4890,4010,0,0
1.662757832,8.6,0,10,75,66,3,29.22,2580,936,-6.43,7.66
1.633468456,6.75,0,6,81,69,3,29.11,1670,383,-3.86,-4.6
0.84509804,2.5,0,8,73,66,4,29.04,1460,193,-5.14,-6.13
1.62324929,5.8,0.17,8,66,61,2,29.26,1290,140,-1.39,7.88
1.69019608,4,0.02,7,70,55,1,29.34,1100,181,6.06,-3.5
1.380211242,3,0,7,74,59,2,29.31,768,103,3.5,-6.06
1.113943352,2.6,0,5,78,63,1,29.25,562,72,-1.71,-4.7
2.235528447,16.4,0,11,70,64,5,29.25,427,59,-1.91,10.83
1.763427994,53.1,0,11,70,56,3,29.28,353,49,5.5,9.53
1.716003344,46.9,0,0,64,57,1,29.41,321,44,0,0
1.204119983,18,0,0,63,51,1,29.4,297,39,0,0
1.113943352,4.6,0,5,60,54,1,29.29,276,36,-2.5,-4.33
2.195899652,61.9,0.01,15,49,31,4,28.87,519,704,14.09538931,-5.13030215
1.698970004,37.6,0,11,51,37,5,28.75,466,750,1.35E-15,-11
0.954242509,27.4,0,10,49,35,4,28.75,446,349,1.22E-15,-10
1.72427587,49.8,0.15,11,48,37,5,28.98,412,226,3.762221577,-10.33661883
1.342422681,21.5,0,0,56,40,4,29.25,455,230,0,0
1.176091259,15.3,0,7,57,44,1,29.34,449,185,3.5,-6.062177826
0.602059991,7.9,0,0,61,40,1,29.32,434,142,0,0
0.301029996,7.1,0,16,72,57,4,28.94,415,118,8,13.85640646
2.204119983,18,0.02,10,50,45,5,29.18,550,116,1.22E-15,-10
1.51851394,43.7,0,0,61,31,2,29.42,351,94,0,0
0.954242509,18.7,0,9,70,40,4,29.23,323,80,3.07818129,8.457233587
2.680335513,24.2,0.42,20,73,61,4,28.91,300,73,19.69615506,3.472963553
1.819543936,18.4,0,15,64,45,2,29.06,287,259,11.49066665,-9.641814145
0.84509804,8,0,6,69,46,1,29.17,311,195,3.856725658,4.596266659
2.021189299,6.7,0.21,11,65,57,5,29.03,323,102,-1.910129954,10.83288528
2.627365857,11.4,0.13,5,70,65,5,28.82,457,118,-1.22E-15,5
