pred,truth,critical specificity,,fitted,actual,exceedance,non-exceednace,spec
1.445644473,1.907411361,0.381818182,,1.153384192,0,0,1,0.018181818
1.629928127,1.227886705,0.763636364,,1.235251812,0,0,1,0.036363636
1.79388352,0.875061263,0.927272727,,1.241398619,0.301029996,0,1,0.054545455
1.477130994,0.612783857,0.472727273,,1.265529957,0,0,1,0.072727273
1.861595953,3.298044843,0.963636364,,1.29687119,0.707570176,0,1,0.090909091
1.83916002,3.238773502,0.963636364,,1.298956336,0.707570176,0,1,0.109090909
1.798543352,1.309630167,0.945454545,,1.303309918,0.301029996,0,1,0.127272727
1.975177627,3.298044843,na,,1.305501762,0.799340549,0,1,0.145454545
1.48168243,1.779596491,0.472727273,,1.310729524,0.477121255,0,1,0.163636364
1.440658143,2.061829307,0.363636364,,1.313920072,0.991226076,0,1,0.181818182
1.417694912,0,0.363636364,,1.31796735,0.301029996,0,1,0.2
1.574643713,1.537819095,0.654545455,,1.330659191,0.491361694,0,1,0.218181818
1.875878824,1.439332694,0.963636364,,1.367797861,1.037426498,0,1,0.236363636
1.293799604,0.612783857,0.090909091,,1.370978496,0.612783857,0,1,0.254545455
1.329313239,2.45909079,0.218181818,,1.393784855,1.206825876,0,1,0.272727273
,,,,1.395283136,1.025305865,0,1,0.290909091
,,,,1.39649838,0.986771734,0,1,0.309090909
,,,,1.411472971,1.127104798,0,1,0.327272727
,,,,1.413918391,1.320146286,0,1,0.345454545
,,,,1.441323093,1.271841607,0,1,0.363636364
,,,,1.452283437,1.334453751,0,1,0.381818182
,,,,1.455011205,1.120573931,0,1,0.4
,,,,1.463363223,1.238046103,0,1,0.418181818
,,,,1.465030251,1.394451681,0,1,0.436363636
,,,,1.476003764,1.190331698,0,1,0.454545455
,,,,1.486446316,1.59439255,0,1,0.472727273
,,,,1.492152343,1.193124598,0,1,0.490909091
,,,,1.508741074,1.489958479,0,1,0.509090909
,,,,1.515039007,1.434568904,0,1,0.527272727
,,,,1.522525355,1.465382851,0,1,0.545454545
,,,,1.524234455,1.376576957,0,1,0.563636364
,,,,1.529400689,2.314709693,0,1,0.581818182
,,,,1.553552388,1.784617293,0,1,0.6
,,,,1.555963435,1.59439255,0,1,0.618181818
,,,,1.558626703,1.600972896,0,1,0.636363636
,,,,1.602968613,1.675778342,0,1,0.654545455
,,,,1.607603862,1.555094449,0,1,0.672727273
,,,,1.610353277,1.812913357,0,1,0.690909091
,,,,1.619777729,1.72427587,0,1,0.709090909
,,,,1.620717397,0.716003344,0,1,0.727272727
,,,,1.625558357,1.607455023,0,1,0.745454545
,,,,1.653748986,1.589949601,0,1,0.763636364
,,,,1.707891607,2.208441356,0,1,0.781818182
,,,,1.718210266,1.588831726,0,1,0.8
,,,,1.719400303,1.774516966,0,1,0.818181818
,,,,1.739178455,1.729974286,0,1,0.836363636
,,,,1.747149621,1.682145076,0,1,0.854545455
,,,,1.753496815,2.197556213,0,1,0.872727273
,,,,1.759316263,1.913813852,0,1,0.890909091
,,,,1.7770773,1.797267541,0,1,0.909090909
,,,,1.795744524,1.294466226,0,1,0.927272727
,,,,1.808551283,3.383743576,1,0,0.927272727
,,,,1.836591945,2.08278537,0,1,0.945454545
,,,,1.883413636,1.769377326,0,1,0.963636364
,,,,1.887395246,2.058805487,0,1,0.981818182
,,,,1.892605653,2.495544338,1,0,0.981818182
,,,,1.948752803,2.561816664,1,0,0.981818182
,,,,1.95469278,2.033825694,0,1,1
,,,,1.960649551,2.886547123,1,0,1
,,,,1.961838586,2.454997217,1,0,1
,,,,1.974165365,3.113843119,1,0,1
,,,,2.058938093,2.420120848,1,0,1
,,,,2.060914032,3.19119942,1,0,1
,,,,,,6,55,
