pred,truth,critical specificity,,fitted,actual,exceedance,non-exceednace,spec
2.105024187,1.769377326,1,,0.854831983,0,0,1,0.019607843
1.64768447,1.555094449,0.62745098,,0.907123257,0,0,1,0.039215686
1.689407818,0.707570176,0.745098039,,0.970195712,0,0,1,0.058823529
1.594471825,0,0.568627451,,0.970992195,0.612783857,0,1,0.078431373
1.483635811,1.271841607,0.431372549,,1.045267966,0.301029996,0,1,0.098039216
1.574583817,1.59439255,0.568627451,,1.047347803,0.301029996,0,1,0.117647059
1.459080957,0.707570176,0.431372549,,1.066282549,0.477121255,0,1,0.137254902
1.503046551,0.991226076,0.470588235,,1.176695614,0.612783857,0,1,0.156862745
2.216887988,2.033825694,na,,1.235451492,0.799340549,0,1,0.176470588
1.493739207,1.394451681,0.450980392,,1.242627314,0.491361694,0,1,0.196078431
1.607277799,1.729974286,0.588235294,,1.257946101,0.612783857,0,1,0.215686275
1.349619989,1.376576957,0.274509804,,1.293715633,0.986771734,0,1,0.235294118
2.025549761,1.682145076,0.980392157,,1.299157516,1.127104798,0,1,0.254901961
1.746901036,1.037426498,0.764705882,,1.368666406,0.875061263,0,1,0.274509804
1.69036559,0.301029996,0.745098039,,1.375893591,1.320146286,0,1,0.294117647
1.652894864,3.383743576,0.705882353,,1.396756349,1.238046103,0,1,0.31372549
,,,,1.397082044,1.334453751,0,1,0.333333333
,,,,1.407381638,1.190331698,0,1,0.352941176
,,,,1.417176287,1.120573931,0,1,0.37254902
,,,,1.437075582,1.59439255,0,1,0.392156863
,,,,1.458526344,1.025305865,0,1,0.411764706
,,,,1.492588484,1.465382851,0,1,0.431372549
,,,,1.497384975,1.193124598,0,1,0.450980392
,,,,1.530732744,1.434568904,0,1,0.470588235
,,,,1.549784832,1.537819095,0,1,0.490196078
,,,,1.552653516,1.227886705,0,1,0.509803922
,,,,1.556592354,0.716003344,0,1,0.529411765
,,,,1.561176251,1.206825876,0,1,0.549019608
,,,,1.602843773,1.589949601,0,1,0.568627451
,,,,1.633018447,1.907411361,0,1,0.588235294
,,,,1.643743672,1.675778342,0,1,0.607843137
,,,,1.649101872,1.600972896,0,1,0.62745098
,,,,1.649895617,1.607455023,0,1,0.647058824
,,,,1.651031138,1.779596491,0,1,0.666666667
,,,,1.652103889,1.72427587,0,1,0.68627451
,,,,1.672404292,1.489958479,0,1,0.705882353
,,,,1.682688157,1.784617293,0,1,0.725490196
,,,,1.707271058,1.774516966,0,1,0.745098039
,,,,1.74781524,1.812913357,0,1,0.764705882
,,,,1.757052949,1.309630167,0,1,0.784313725
,,,,1.771969919,1.797267541,0,1,0.803921569
,,,,1.777315876,2.314709693,0,1,0.823529412
,,,,1.791987562,1.439332694,0,1,0.843137255
,,,,1.804933763,2.197556213,0,1,0.862745098
,,,,1.856280112,2.061829307,0,1,0.882352941
,,,,1.869493183,1.913813852,0,1,0.901960784
,,,,1.870215566,2.45909079,1,0,0.901960784
,,,,1.928253419,2.08278537,0,1,0.921568627
,,,,1.929725142,2.208441356,0,1,0.941176471
,,,,1.976711978,1.588831726,0,1,0.960784314
,,,,2.02817442,2.058805487,0,1,0.980392157
,,,,2.108725266,2.495544338,1,0,0.980392157
,,,,2.130313644,1.294466226,0,1,1
,,,,2.21229847,2.454997217,1,0,1
,,,,2.251214779,2.561816664,1,0,1
,,,,2.353713771,3.113843119,1,0,1
,,,,2.35446649,2.886547123,1,0,1
,,,,2.360967973,3.298044843,1,0,1
,,,,2.406530517,3.19119942,1,0,1
,,,,2.41392612,3.238773502,1,0,1
,,,,2.487836381,2.420120848,1,0,1
,,,,2.582846746,3.298044843,1,0,1
,,,,,,11,51,
